          10 1618.36
        600
0 0
  1             35            -56            150
  2             72            -58            215
  3             70            -66            162
  4             45            -40              4
  5             39            -40            156
  6             60            -50            105
  7             42            -59             92
  8             31            -46             19
  9             44            -58            153
 10             45            -67             23
